"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"29.12.2023","36,440","36,700","36,940","36,400","38,86M","-0,55%"
"28.12.2023","36,640","36,540","37,040","36,200","44,73M","0,38%"
"27.12.2023","36,500","38,100","38,280","36,500","42,14M","-4,25%"
"26.12.2023","38,120","37,600","38,980","37,600","39,50M","1,60%"
"25.12.2023","37,520","38,580","38,580","36,280","29,59M","-2,80%"
"22.12.2023","38,600","40,280","40,380","38,480","33,59M","-4,12%"
"21.12.2023","40,260","40,280","40,600","39,340","38,08M","-0,05%"
"20.12.2023","40,280","41,380","41,760","40,280","38,65M","-0,44%"
"19.12.2023","40,460","41,600","41,880","40,040","41,35M","-2,60%"
"18.12.2023","41,540","42,100","43,080","41,540","53,62M","-2,12%"
"15.12.2023","42,440","43,100","43,300","41,820","82,33M","-1,53%"
"14.12.2023","43,100","43,280","43,360","40,780","95,60M","0,19%"
"13.12.2023","43,020","45,000","45,900","43,020","126,24M","-10,00%"
"12.12.2023","47,800","48,720","49,000","47,740","30,92M","-2,33%"
"11.12.2023","48,940","49,640","50,250","47,840","48,92M","-1,53%"
"08.12.2023","49,700","50,450","52,450","49,340","49,30M","-1,78%"
"07.12.2023","50,600","48,820","50,600","47,900","52,77M","5,42%"
"06.12.2023","48,000","51,850","51,950","48,000","49,26M","-7,43%"
"05.12.2023","51,850","53,550","54,050","51,400","39,18M","-3,17%"
"04.12.2023","53,550","52,500","54,600","51,650","69,10M","2,39%"
"01.12.2023","52,300","51,050","53,450","50,900","77,26M","4,85%"
"30.11.2023","49,880","51,100","51,100","48,340","75,29M","-2,39%"
"29.11.2023","51,100","49,180","51,400","48,840","85,02M","4,07%"
"28.11.2023","49,100","46,700","50,150","46,140","100,51M","5,27%"
"27.11.2023","46,640","44,260","47,400","44,260","78,56M","5,71%"
"24.11.2023","44,120","43,420","44,580","43,420","28,78M","1,61%"
"23.11.2023","43,420","43,800","44,420","43,420","24,45M","-1,00%"
"22.11.2023","43,860","44,360","44,540","43,660","22,10M","-1,08%"
"21.11.2023","44,340","44,600","45,540","44,200","42,53M","0,09%"
"20.11.2023","44,300","44,080","45,320","44,040","41,90M","0,96%"
"17.11.2023","43,880","44,220","44,260","43,660","22,86M","-0,72%"
